Gene,DlpsB_1,DlpsB_2,DlpsB_3,DpbpG_1,DpbpG_2,DpbpG_3,WT_1,WT_2,WT_3
gene-ACX60_RS00455,4019,5876,5718,5653,5546,5679,4536,4930,5730
gene-ACX60_RS00460,3352,5094,5847,4837,4391,5836,4454,4933,5149
gene-ACX60_RS00465,3043,4996,5057,4015,3804,4790,3664,3909,4167
gene-ACX60_RS00470,10814,15149,15535,15615,15881,15526,11740,13000,15968
gene-ACX60_RS00475,6267,8635,8908,8504,8628,8309,7121,7691,9122
gene-ACX60_RS00480,2446,3620,3910,3009,3132,3418,2809,3255,3491
gene-ACX60_RS00485,4909,9349,8680,6363,5730,7516,6260,6590,7705
gene-ACX60_RS00490,1226,2470,2645,2176,2019,2549,1731,1935,2069
gene-ACX60_RS00495,401,676,681,496,541,470,632,646,693
gene-ACX60_RS00500,459,721,810,620,485,623,717,761,885
gene-ACX60_RS00505,76,115,127,109,81,119,111,141,175
gene-ACX60_RS00510,1134,1752,2030,1409,1320,1531,1517,1531,1891
gene-ACX60_RS00515,1577,2473,2637,2065,2008,2013,1655,1848,2243
gene-ACX60_RS00520,3189,4868,4673,4040,4020,4409,3269,3463,4379
gene-ACX60_RS00525,1835,2487,2480,1268,1251,1271,1114,1143,1788
gene-ACX60_RS00530,1524,2050,1849,1966,2274,1923,1758,1894,2329
gene-ACX60_RS00535,652,1081,1100,893,1041,1092,797,888,944
gene-ACX60_RS00540,373,561,651,503,498,493,481,490,630
gene-ACX60_RS00545,279,498,700,373,360,440,291,318,330
gene-ACX60_RS00550,1496,2210,2034,2286,2175,2031,1673,1865,2049
gene-ACX60_RS00555,1962,2933,2626,2169,2486,2283,1815,1766,2183
gene-ACX60_RS00560,2398,3531,3403,3024,2973,2890,2003,2348,2543
gene-ACX60_RS00565,1369,2061,2340,1714,1756,1835,1172,1191,1592
gene-ACX60_RS00570,402,638,880,585,658,710,504,503,635
gene-ACX60_RS00575,2048,3283,3109,3117,3335,3199,3365,3608,3722
gene-ACX60_RS00580,330,666,562,533,535,738,625,659,747
gene-ACX60_RS00585,1233,2024,1951,1302,1172,2212,2110,2050,2272
gene-ACX60_RS00590,190,236,272,196,78,200,208,238,276
gene-ACX60_RS00605,328,544,752,489,447,630,527,467,632
gene-ACX60_RS00610,85,207,237,151,175,140,87,93,157
gene-ACX60_RS00615,13,17,28,9,12,10,4,4,6
gene-ACX60_RS19400,0,8,18,12,0,11,2,4,4
gene-ACX60_RS00630,14,20,49,4,14,21,36,24,42
gene-ACX60_RS00635,2,6,10,2,2,12,16,18,9
gene-ACX60_RS00640,757,1292,1256,1279,1440,1278,909,922,1101
gene-ACX60_RS00645,424,547,801,558,489,568,516,609,613
gene-ACX60_RS00650,3989,6619,5489,4988,5663,5260,4343,4988,5465
gene-ACX60_RS00655,90,176,151,173,194,156,175,164,199
gene-ACX60_RS00660,260,328,351,351,303,305,364,360,538
gene-ACX60_RS00665,52,83,115,76,51,93,57,88,109
gene-ACX60_RS00670,500,766,1112,882,713,1352,1011,972,1171
gene-ACX60_RS00675,208,305,301,291,323,392,396,404,466
gene-ACX60_RS00680,18,19,54,42,56,39,45,57,65
gene-ACX60_RS00685,24,58,83,65,74,78,114,49,80
gene-ACX60_RS00690,200,227,265,277,317,300,255,291,328
gene-ACX60_RS00695,5205,8395,12321,4562,4072,6063,3636,3701,5091
gene-ACX60_RS00700,682,1164,1615,786,667,1013,588,550,822
gene-ACX60_RS00705,2313,3808,3985,3231,3549,3413,2406,2579,3152
gene-ACX60_RS00710,4428,6295,6416,5983,6214,6441,5298,5528,6093
gene-ACX60_RS00715,256,351,383,350,315,376,374,358,357
gene-ACX60_RS00720,595,916,1055,783,678,890,557,570,674
gene-ACX60_RS00725,1528,2740,3165,1435,1293,1427,804,829,1055
gene-ACX60_RS00730,106,203,278,167,141,216,167,159,171
gene-ACX60_RS00735,1350,1903,2030,1860,2177,1992,1496,1716,1921
gene-ACX60_RS00740,530,876,879,808,760,931,605,692,756
