Gene,DlpsB_1,DlpsB_2,DlpsB_3,DpbpG_1,DpbpG_2,DpbpG_3,WT_1,WT_2,WT_3
gene-ACX60_RS03900,27,32,60,30,24,17,40,12,37
gene-ACX60_RS03905,2301,3031,3748,4005,3321,4763,3820,3893,4060
gene-ACX60_RS03910,4858,7861,7243,4935,4740,4865,4266,5081,5397
gene-ACX60_RS03915,1812,3049,2862,1797,1748,1978,1781,1941,2206
gene-ACX60_RS03920,1305,2323,2195,1560,1475,1745,1753,1798,1994
gene-ACX60_RS03925,1428,2435,2768,1924,1705,2157,1864,2040,2087
gene-ACX60_RS03930,29875,46528,43703,32625,30625,34030,29771,33404,36157
gene-ACX60_RS03935,124,224,288,277,278,310,292,270,343
gene-ACX60_RS03940,639,1350,1302,1394,1258,1598,1264,1433,1501
gene-ACX60_RS03945,164,247,389,164,126,264,357,294,320
gene-ACX60_RS03950,2428,3943,4273,4081,4011,4935,2999,3528,3356
gene-ACX60_RS03955,119,151,211,134,108,136,109,115,183
gene-ACX60_RS03960,21111,30266,32084,29800,30719,33352,24616,29274,30015
gene-ACX60_RS03965,5150,6881,8518,6794,5944,8488,9363,10090,10288
gene-ACX60_RS03970,5438,8169,7796,8080,8259,8355,8786,9271,10315
gene-ACX60_RS03975,23482,34036,36139,33744,32159,38211,41316,44153,44525
gene-ACX60_RS03980,6613,9606,10419,10773,9555,13281,14570,15973,14411
gene-ACX60_RS19045,0,1,0,0,0,1,1,0,2
gene-ACX60_RS19455,126,282,287,218,312,251,166,202,229
gene-ACX60_RS03985,41190,60455,61402,69836,74207,75286,64509,73824,73328
gene-ACX60_RS03990,25127,38236,41090,43349,41380,49705,45808,56719,51233
gene-ACX60_RS03995,25013,37997,41701,43472,44975,50372,45586,53418,49901
gene-ACX60_RS04000,18887,31001,34788,34759,35457,42932,39188,48959,42992
gene-ACX60_RS04005,17071,27481,27353,31597,31604,36326,36155,43613,38020
gene-ACX60_RS04010,2187,3163,3596,2810,2579,3370,2424,2729,2576
gene-ACX60_RS04015,1786,2444,3195,1823,2024,2272,1959,2249,2460
gene-ACX60_RS04020,3087,4546,4594,2742,3138,3069,2332,2489,3224
gene-ACX60_RS04025,2410,3671,4078,2852,3205,3782,3211,3108,3418
gene-ACX60_RS04030,15348,22009,22890,20428,19874,21180,16264,16374,20154
gene-ACX60_RS04035,104,152,197,86,68,158,127,113,163
gene-ACX60_RS04040,219,348,364,261,164,234,296,295,335
gene-ACX60_RS04045,92,136,157,79,96,99,69,98,128
gene-ACX60_RS04050,70,119,121,89,80,82,101,134,114
gene-ACX60_RS04055,109,150,188,83,60,129,130,106,151
gene-ACX60_RS04060,338,417,429,297,330,381,321,322,427
gene-ACX60_RS04065,81,118,134,86,80,129,122,123,140
gene-ACX60_RS04070,66,126,124,101,70,98,91,103,143
gene-ACX60_RS04075,1455,2574,3005,2813,2531,3131,2670,3073,3227
gene-ACX60_RS04080,31020,43330,51865,50130,43829,58376,45566,50856,51482
gene-ACX60_RS04085,24177,35242,35730,33905,34145,34632,24221,27440,34960
gene-ACX60_RS04090,80,101,112,101,43,142,133,145,145
gene-ACX60_RS04095,3063,4247,4937,3736,2934,4801,3590,3514,4113
gene-ACX60_RS04100,2227,3106,3617,2801,2658,3270,2135,2465,2929
gene-ACX60_RS04105,4897,8037,8441,6417,6360,7125,5430,5873,6864
gene-ACX60_RS04110,58935,96839,86601,68820,76367,69368,55958,64925,68234
gene-ACX60_RS04115,488,798,838,588,534,688,505,519,720
gene-ACX60_RS04120,50,99,118,87,58,125,99,95,127
gene-ACX60_RS04125,28,52,110,28,38,72,43,44,81
gene-ACX60_RS04130,3,41,24,17,30,17,19,15,19
gene-ACX60_RS04135,446,502,611,685,602,646,757,654,887
gene-ACX60_RS04140,38,58,37,79,97,47,55,73,55
gene-ACX60_RS04145,0,1,2,0,0,4,3,2,2
gene-ACX60_RS04150,2485,4016,4172,3303,3502,4221,2643,3146,3127
gene-ACX60_RS04155,597,856,1090,1005,966,1203,954,1084,1125
gene-ACX60_RS04160,386,667,818,509,441,808,728,767,789
gene-ACX60_RS04165,1586,2352,2218,2027,2297,2379,2544,2851,3033
gene-ACX60_RS04170,583,1018,1006,596,651,654,634,670,826
gene-ACX60_RS04175,149,239,264,178,168,197,210,195,217
gene-ACX60_RS04180,27112,37053,39796,40952,39638,48475,35764,40879,42898
gene-ACX60_RS04185,170,243,357,187,193,233,145,141,196
gene-ACX60_RS04190,244,330,381,287,290,374,294,305,321
gene-ACX60_RS04195,3413,6761,6801,2749,2609,3731,1988,2245,2445
gene-ACX60_RS04200,38869,67730,62286,42213,42872,47237,33975,42632,41045
gene-ACX60_RS04205,67,92,130,111,82,146,122,137,132
gene-ACX60_RS04210,1426,2594,2623,1549,1483,1791,1612,1954,2227
gene-ACX60_RS04215,135,149,191,108,111,171,154,207,178
gene-ACX60_RS04220,1084,1690,1771,1498,1536,1215,771,772,1026
gene-ACX60_RS04225,1046,1375,1608,1130,1044,1326,1025,948,1448
gene-ACX60_RS04230,16622,27581,25673,20112,20205,22858,18919,23060,21729
gene-ACX60_RS04235,1151,1559,1500,869,916,1136,1018,1000,1322
gene-ACX60_RS04240,2583,3567,3624,4245,3785,4368,2882,3398,3413
gene-ACX60_RS04245,1069,2103,2593,1511,1647,2052,1043,1005,1384
gene-ACX60_RS04250,2461,3515,4004,2471,2573,2678,1317,1365,1799
gene-ACX60_RS04255,61,102,155,43,43,88,78,51,97
gene-ACX60_RS04260,0,2,5,0,6,0,2,0,1
gene-ACX60_RS04265,38,74,80,40,44,64,74,76,46
gene-ACX60_RS04270,462,667,754,648,570,579,580,578,770
gene-ACX60_RS04275,153,177,322,160,99,205,213,209,242
gene-ACX60_RS04280,42,81,128,57,33,63,120,112,100
gene-ACX60_RS04285,10,36,65,39,33,55,59,62,64
gene-ACX60_RS04290,88,157,187,96,101,132,160,166,179
gene-ACX60_RS04295,75,73,171,57,34,84,81,82,107
gene-ACX60_RS04300,267,295,454,286,236,357,468,511,537
gene-ACX60_RS04305,69,122,185,100,53,121,142,147,161
gene-ACX60_RS04310,12,11,27,11,3,13,22,16,18
gene-ACX60_RS04315,30,25,45,24,13,27,38,28,27
gene-ACX60_RS04320,6,6,7,2,8,8,4,2,4
gene-ACX60_RS04325,11,8,28,16,6,12,6,4,14
gene-ACX60_RS04330,18,20,33,10,8,8,21,13,19
gene-ACX60_RS04335,1176,1660,1611,1477,1526,1296,1018,1212,1451
gene-ACX60_RS04340,171,253,273,191,140,149,124,195,164
gene-ACX60_RS04345,109,135,140,116,75,92,101,99,115
gene-ACX60_RS04350,229,329,373,219,260,279,246,219,278
gene-ACX60_RS04355,2480,3964,3658,2452,3138,2548,1629,1781,2189
gene-ACX60_RS04360,277,482,355,264,333,290,166,212,203
gene-ACX60_RS04365,58,81,60,32,55,64,26,40,49
gene-ACX60_RS04370,372,580,629,477,512,527,425,452,546
gene-ACX60_RS04375,607,877,997,758,665,921,786,807,925
gene-ACX60_RS04380,35910,54779,45690,36093,39684,32639,29685,38450,39349
gene-ACX60_RS04385,3454,4772,5114,3836,3690,4355,3936,4656,4909
gene-ACX60_RS04390,2362,3670,3530,2085,2292,2312,2230,2344,2628
gene-ACX60_RS04395,626,990,979,993,1040,905,782,894,1012
gene-ACX60_RS04400,2273,3707,4035,3177,3265,3629,3108,3476,3839
gene-ACX60_RS04405,1615,2604,2844,2144,2076,2499,1898,2069,2251
gene-ACX60_RS04410,282,432,467,383,348,373,400,408,456
gene-ACX60_RS04415,232,383,523,363,266,326,353,355,429
gene-ACX60_RS04420,11237,17650,16999,14083,15052,16339,13657,16704,15942
gene-ACX60_RS04425,10736,16162,15230,14247,14574,16054,15258,17933,16494
gene-ACX60_RS04430,15354,23904,23760,19424,19200,22852,15331,17514,19434
gene-ACX60_RS04435,82,109,140,97,63,100,88,149,150
gene-ACX60_RS04440,4,15,16,8,13,14,14,12,28
gene-ACX60_RS04445,39,52,63,29,41,43,25,57,75
gene-ACX60_RS04450,42,61,121,44,53,55,72,54,77
gene-ACX60_RS04455,326,408,498,352,401,344,410,442,405
gene-ACX60_RS04460,354,541,540,535,605,494,547,586,683
gene-ACX60_RS04465,436,688,786,541,624,582,457,465,581
gene-ACX60_RS04470,631,909,903,831,715,882,678,699,774
gene-ACX60_RS04475,992,1598,1783,1477,1295,1958,1540,1571,1463
gene-ACX60_RS04480,3407,5778,5636,3196,2796,2823,2815,3239,3315
gene-ACX60_RS04485,346,496,594,359,313,472,421,437,467
gene-ACX60_RS04490,859,1437,1444,1322,1222,1326,1695,1804,2063
gene-ACX60_RS20060,13,35,64,31,28,72,78,59,48
gene-ACX60_RS04495,4920,7273,7526,7627,8517,7628,4987,5487,6373
gene-ACX60_RS04500,1554,2349,2527,2151,2177,2244,1233,1502,1745
gene-ACX60_RS04505,377,623,664,510,410,594,670,691,708
gene-ACX60_RS04510,1743,2457,2654,2127,2088,2379,2465,2381,2741
gene-ACX60_RS04515,2589,3961,4718,3197,3193,3600,2485,2660,3338
gene-ACX60_RS04520,1845,2875,3028,2564,2569,2670,2116,2240,2667
gene-ACX60_RS04525,2611,3873,3612,4289,4313,4630,4039,4740,4939
gene-ACX60_RS04530,8102,12058,12334,12133,11476,13561,11311,13005,14274
gene-ACX60_RS04535,3745,5411,5646,5792,5720,5938,5811,6263,7493
gene-ACX60_RS04540,1039,1615,1548,1267,1268,1452,1260,1172,1565
gene-ACX60_RS04545,874,1252,1710,722,704,996,1023,914,1270
gene-ACX60_RS04550,786,1174,1927,768,606,1247,1168,1077,1391
gene-ACX60_RS04555,151,237,320,170,158,223,179,208,190
gene-ACX60_RS04560,322,590,619,512,372,427,435,440,412
gene-ACX60_RS04565,5575,8223,7439,5755,5902,5521,4243,4459,4982
gene-ACX60_RS04570,1015,1486,2120,1316,1250,1771,1091,1048,1283
gene-ACX60_RS04575,2414,3486,4292,3501,3416,4126,2104,2287,2881
gene-ACX60_RS04580,34,48,58,37,32,52,45,27,28
gene-ACX60_RS04585,6564,9229,8574,8896,9886,8551,4927,6106,7270
gene-ACX60_RS04590,4059,6075,6536,6883,7255,7207,4744,5381,5546
gene-ACX60_RS04595,1525,2303,2258,2296,2439,2834,1608,1759,1998
gene-ACX60_RS04600,461,591,807,931,861,1021,639,615,781
gene-ACX60_RS04605,1242,2044,2018,2670,2818,2674,1996,2204,2549
gene-ACX60_RS04610,435,781,689,745,821,743,759,777,979
gene-ACX60_RS04615,89,163,130,102,89,92,108,106,134
gene-ACX60_RS04620,3311,4568,4262,3557,3637,3763,2669,3120,3545
gene-ACX60_RS04625,551,861,1133,499,498,621,389,383,498
gene-ACX60_RS04630,2373,3836,3869,2439,2453,2484,1707,1929,2280
gene-ACX60_RS04635,19178,27454,30330,27363,27526,31734,24490,27541,28704
gene-ACX60_RS04640,263,312,402,231,201,353,252,272,362
gene-ACX60_RS04645,123,142,322,150,137,288,253,209,307
gene-ACX60_RS04650,42,42,73,46,37,58,40,27,51
gene-ACX60_RS04655,92,124,201,120,74,119,146,161,183
gene-ACX60_RS04660,66,94,141,77,58,95,90,110,109
gene-ACX60_RS04665,35,37,58,25,25,32,34,48,41
gene-ACX60_RS04670,69,110,111,80,111,80,77,77,143
gene-ACX60_RS04675,239,354,307,233,194,211,268,280,268
gene-ACX60_RS20065,341,490,547,352,312,328,356,401,451
gene-ACX60_RS04685,333,626,658,410,359,434,392,456,606
gene-ACX60_RS04690,205,286,296,202,219,217,155,227,271
gene-ACX60_RS04695,173,248,286,178,185,214,135,211,275
gene-ACX60_RS04700,249,321,397,319,256,328,238,219,304
gene-ACX60_RS04705,89,142,191,97,51,98,106,111,109
gene-ACX60_RS19065,32,56,66,40,31,49,63,43,54
gene-ACX60_RS04720,6,11,17,25,19,22,20,29,35
gene-ACX60_RS04725,62,82,150,75,60,91,91,79,117
gene-ACX60_RS04730,576,738,851,604,450,689,686,677,1011
gene-ACX60_RS04735,216,406,324,257,279,267,354,306,422
gene-ACX60_RS04740,173,232,217,181,194,168,146,238,248
gene-ACX60_RS04745,239,311,336,336,313,343,348,393,440
gene-ACX60_RS04750,679,938,1258,902,670,1071,1235,1152,1470
gene-ACX60_RS04755,427,583,784,568,419,578,672,727,819
gene-ACX60_RS04760,680,914,1104,912,671,1135,1453,1223,1583
gene-ACX60_RS04765,127,114,189,170,141,181,160,146,214
gene-ACX60_RS04770,20,17,52,27,12,17,35,22,18
gene-ACX60_RS19075,73,76,71,40,32,76,49,103,93
gene-ACX60_RS04785,190,272,416,174,167,246,349,283,326
gene-ACX60_RS04790,49,99,106,87,79,100,120,118,99
gene-ACX60_RS04795,922,1279,1354,828,847,912,1042,1189,1417
gene-ACX60_RS04800,358,485,523,426,420,386,408,443,519
gene-ACX60_RS04805,644,992,1218,761,791,856,880,875,1025
gene-ACX60_RS04810,385,599,726,557,506,563,542,528,723
gene-ACX60_RS04815,110,138,136,161,106,139,110,144,181
gene-ACX60_RS19080,9,5,5,12,13,6,22,11,14
gene-ACX60_RS19995,2,2,15,3,3,8,7,2,5
gene-ACX60_RS04825,33,61,73,54,29,48,46,57,75
gene-ACX60_RS04830,860,1248,1476,879,776,966,721,854,928
gene-ACX60_RS04835,254,451,560,427,403,580,476,454,515
gene-ACX60_RS04840,180,310,354,269,246,355,304,271,351
gene-ACX60_RS04845,540,798,924,771,624,848,441,438,632
gene-ACX60_RS04850,227,382,413,331,317,455,219,219,293
gene-ACX60_RS04855,2535,4286,5244,4253,4101,5544,2937,3343,3562
gene-ACX60_RS04860,5340,7756,8373,8019,6885,8589,6656,7415,8663
gene-ACX60_RS04865,7419,9935,10148,9584,9215,10070,8405,9233,10367
gene-ACX60_RS04870,9609,14071,13074,13941,13749,14741,11552,12939,14125
gene-ACX60_RS04875,8495,15061,16489,14659,15801,15881,5160,5990,6940
gene-ACX60_RS04880,1681,2613,2893,2608,2061,2856,1379,1638,1762
gene-ACX60_RS04885,2614,3945,3563,3471,3509,3396,2004,2457,2890
gene-ACX60_RS04890,1406,2104,1800,2031,2068,1792,1489,1725,1888
gene-ACX60_RS04895,1671,2555,2152,2322,2671,2045,1736,2046,2429
gene-ACX60_RS04900,1653,2319,2435,1929,1977,1895,1698,1955,2298
gene-ACX60_RS04905,2773,3978,4237,3525,3753,3177,2707,3162,3360
gene-ACX60_RS04910,240,360,314,324,309,292,275,306,323
gene-ACX60_RS04915,639,846,1018,852,739,1010,676,640,853
gene-ACX60_RS04920,311,555,595,447,490,605,356,381,421
gene-ACX60_RS04925,75,132,165,114,94,145,118,96,159
gene-ACX60_RS04930,1944,2573,2485,2388,2252,2494,2563,2604,2846
gene-ACX60_RS04935,2010,3201,3169,2846,2915,2726,1685,2092,2453
gene-ACX60_RS04940,206,272,326,177,256,254,205,232,216
gene-ACX60_RS04945,44,83,123,73,53,92,59,58,69
gene-ACX60_RS04950,11934,17982,19306,16467,15777,18917,14262,16606,18748
gene-ACX60_RS04955,1811,2895,3319,2980,2835,3763,3339,3571,3380
gene-ACX60_RS04960,458,748,737,584,510,680,475,502,662
gene-ACX60_RS04965,772,1141,1542,1192,1113,1429,1079,1036,1283
gene-ACX60_RS04970,5998,9125,11258,8012,7301,9633,7043,7534,8732
gene-ACX60_RS04975,197,376,775,207,156,486,342,264,306
gene-ACX60_RS04980,978,1538,1729,1342,1176,1678,1147,1303,1369
gene-ACX60_RS04985,1938,3017,2870,2524,3181,2595,1941,2399,2715
gene-ACX60_RS04990,680,1066,1091,700,785,1002,695,761,837
gene-ACX60_RS04995,347,544,647,354,340,451,408,372,476
gene-ACX60_RS05000,9,12,26,18,17,27,13,15,16
gene-ACX60_RS19470,0,1,12,1,1,0,8,5,0
gene-ACX60_RS05005,127,196,380,191,123,303,335,343,393
gene-ACX60_RS05010,210,301,306,205,193,246,248,279,323
gene-ACX60_RS05015,7,22,46,13,5,16,18,12,25
gene-ACX60_RS05020,868,1374,1550,778,690,1068,885,921,1076
gene-ACX60_RS05025,91,139,269,146,95,211,288,204,252
gene-ACX60_RS05030,5672,8350,8524,9251,9649,10296,7715,9734,8654
gene-ACX60_RS05035,35,65,65,61,36,79,72,54,51
gene-ACX60_RS05040,204,232,353,216,162,211,233,260,280
gene-ACX60_RS05045,482,551,694,370,407,420,453,404,416
gene-ACX60_RS05050,6007,10085,9614,5456,5611,5145,4433,5027,5721
gene-ACX60_RS05055,750,1144,1147,819,753,870,618,656,739
gene-ACX60_RS05060,286,417,437,284,196,350,289,290,422
gene-ACX60_RS05065,9973,14577,16250,16727,16413,20721,15267,17734,16295
gene-ACX60_RS05070,96,106,176,95,103,118,156,136,135
gene-ACX60_RS05075,29,33,88,58,52,58,42,63,37
gene-ACX60_RS05080,13930,19518,19072,17551,18398,17453,12942,14490,17992
gene-ACX60_RS05085,7761,10396,10469,11038,10903,11672,9412,10606,12008
gene-ACX60_RS05090,267,329,459,262,231,377,361,328,374
gene-ACX60_RS05095,874,1500,1548,1271,1221,1367,1071,1180,1220
gene-ACX60_RS05100,778,1352,1387,955,1016,1073,787,826,1076
gene-ACX60_RS05105,996,1370,1293,887,1053,777,926,1020,1194
gene-ACX60_RS05110,52,110,97,49,83,69,81,51,67
gene-ACX60_RS05115,243,399,403,362,271,326,196,212,262
gene-ACX60_RS05120,137,241,249,189,148,203,138,185,248
gene-ACX60_RS05125,223,286,347,178,195,190,206,208,289
gene-ACX60_RS05130,883,1353,1334,729,745,794,607,695,888
gene-ACX60_RS05135,528,626,795,560,458,553,507,530,649
gene-ACX60_RS05140,106,203,165,108,134,161,143,147,174
gene-ACX60_RS05145,100,120,144,118,139,92,99,104,155
gene-ACX60_RS05150,207,236,381,212,195,242,287,306,347
gene-ACX60_RS05155,13663,23505,25756,18716,18290,21491,12982,15279,17170
gene-ACX60_RS05160,1071,1604,1542,1388,1518,1612,936,1019,1141
gene-ACX60_RS05165,1479,1918,2143,2186,2204,2346,1770,1857,2177
gene-ACX60_RS05170,2766,4038,4466,3658,3516,4287,3881,4190,4531
gene-ACX60_RS05175,47548,69536,67174,59492,62128,63336,48015,57427,59570
gene-ACX60_RS05180,2243,3406,3418,3071,3420,3380,2303,2682,3160
gene-ACX60_RS05185,2548,4034,4390,1830,1885,2009,1158,1245,1621
gene-ACX60_RS05190,28,26,44,17,17,30,54,60,30
gene-ACX60_RS05195,13,28,42,26,23,33,57,55,59
gene-ACX60_RS19475,1,0,1,0,0,0,0,2,0
gene-ACX60_RS05200,20,24,50,19,12,16,38,20,27
gene-ACX60_RS05205,653,924,962,860,723,941,881,1047,1277
gene-ACX60_RS05210,2223,3412,3559,3619,3822,3975,3670,4290,4387
gene-ACX60_RS05215,209,274,291,343,321,405,361,429,435
gene-ACX60_RS05220,7564,11628,13378,9699,8872,11012,8452,10380,10675
gene-ACX60_RS05225,145,235,305,235,219,273,157,129,230
gene-ACX60_RS05230,135,190,259,184,160,186,216,227,298
gene-ACX60_RS05235,773,1058,1214,794,746,793,773,744,965
gene-ACX60_RS05240,61,81,95,59,41,51,51,40,46
gene-ACX60_RS05245,294,510,605,354,393,434,259,350,335
gene-ACX60_RS05250,3036,4818,5041,3953,3810,4393,3177,3885,4188
gene-ACX60_RS05255,463,747,768,550,532,506,477,524,661
gene-ACX60_RS05260,866,1438,1407,1596,1382,1787,1092,1176,1411
gene-ACX60_RS05265,6481,9162,10474,8904,9119,10781,7606,8235,8396
gene-ACX60_RS05270,279,466,437,418,458,453,623,632,788
gene-ACX60_RS05275,560,871,1135,640,593,1003,720,723,748
gene-ACX60_RS05280,12701,19078,21860,12721,10743,15087,18067,17567,22218
gene-ACX60_RS05285,12008,19240,20002,16186,14309,16730,20001,21662,26259
gene-ACX60_RS05290,74,91,150,78,53,99,89,80,102
gene-ACX60_RS05295,431,663,630,553,523,444,329,327,398
gene-ACX60_RS05300,2296,3629,4163,2825,3353,2609,880,984,1169
gene-ACX60_RS05305,16019,23019,25401,25314,25844,29724,18390,19722,21517
gene-ACX60_RS05310,12222,16644,19146,19110,19617,22072,13403,14695,15863
gene-ACX60_RS05315,620,641,588,192,234,508,533,516,570
gene-ACX60_RS05320,77,72,53,21,26,60,49,33,47
gene-ACX60_RS05325,122,141,153,73,45,108,137,124,125
gene-ACX60_RS05330,95,83,97,60,50,54,64,60,74
gene-ACX60_RS05335,248,302,415,288,358,304,244,258,221
gene-ACX60_RS05340,511,824,818,781,901,728,719,772,731
gene-ACX60_RS05345,717,1147,1106,1094,1025,1068,916,923,1118
gene-ACX60_RS05350,806,1200,1409,970,925,1144,719,939,998
gene-ACX60_RS05355,4802,8751,7983,5594,6123,5829,4284,5305,5319
gene-ACX60_RS05360,688,978,1277,789,684,911,855,873,1060
gene-ACX60_RS05365,147,154,210,135,136,197,158,202,199
gene-ACX60_RS05370,3627,5923,7130,7352,6510,8573,7739,9073,8692
gene-ACX60_RS05375,604,897,880,920,861,968,799,787,925
gene-ACX60_RS05380,2930,4025,4057,3541,3414,3999,2996,3236,3642
gene-ACX60_RS05385,2603,3617,3348,3301,3488,3281,2633,2952,3543
gene-ACX60_RS05390,263,415,483,316,307,440,380,368,408
gene-ACX60_RS05395,2224,3242,3801,3024,2790,3484,2202,2438,2549
gene-ACX60_RS05400,792,1399,1723,1275,1313,1492,455,532,653
gene-ACX60_RS05405,87,149,168,106,94,136,134,148,165
gene-ACX60_RS05410,1125,1744,1680,1154,1237,1256,1052,1076,1487
gene-ACX60_RS05415,2541,4093,4332,4067,4526,4213,2208,2782,3044
gene-ACX60_RS05420,3759,5204,5494,4131,3711,4423,5275,5719,7129
gene-ACX60_RS05425,7293,10838,10632,7546,8571,8089,7090,7928,9435
gene-ACX60_RS05430,1850,2936,3310,2472,2459,3162,2447,2677,2964
gene-ACX60_RS05435,192,436,590,342,332,449,326,325,381
gene-ACX60_RS05440,565,731,909,624,518,673,697,710,766
gene-ACX60_RS05445,14538,24488,24584,24864,26753,30142,20266,23450,24007
gene-ACX60_RS05450,538,690,810,604,478,679,638,607,811
gene-ACX60_RS05455,461,721,937,559,483,558,539,594,758
gene-ACX60_RS05460,758,1184,1403,1021,981,1224,1030,1049,1147
gene-ACX60_RS05465,4322,7845,9178,9061,9167,10416,8192,9451,9993
gene-ACX60_RS05470,3526,5269,4770,3024,3633,3325,3430,3876,4345
gene-ACX60_RS05475,237,440,421,281,288,321,362,356,349
gene-ACX60_RS05480,11,12,18,6,6,27,8,11,21
gene-ACX60_RS19825,274,404,417,264,242,395,330,343,501
gene-ACX60_RS20000,82,103,145,81,50,85,84,85,106
gene-ACX60_RS05490,38,43,79,38,14,57,24,42,40
gene-ACX60_RS05495,38,101,89,52,44,61,45,50,64
gene-ACX60_RS05500,36,49,56,42,23,32,48,38,64
gene-ACX60_RS05505,118,142,196,119,132,140,121,114,178
gene-ACX60_RS05510,46,61,59,38,26,42,38,40,36
gene-ACX60_RS05515,116,152,165,115,111,146,123,120,126
gene-ACX60_RS05520,128,157,197,146,113,170,129,151,187
gene-ACX60_RS05525,157,254,237,150,154,164,158,150,193
gene-ACX60_RS05530,99,161,149,119,127,108,86,73,150
gene-ACX60_RS05535,77,92,96,65,68,59,42,63,67
gene-ACX60_RS05540,6,22,32,31,37,18,25,33,20
gene-ACX60_RS05545,31,28,36,32,25,27,36,24,14
gene-ACX60_RS05550,49,78,76,38,46,66,68,83,60
gene-ACX60_RS19480,1,7,10,3,2,5,6,5,4
gene-ACX60_RS05555,120,191,242,137,84,181,185,140,176
gene-ACX60_RS05560,0,8,28,12,4,6,20,18,32
gene-ACX60_RS05565,53,62,122,34,54,67,62,44,44
gene-ACX60_RS05570,6,7,6,12,5,3,2,4,4
gene-ACX60_RS19670,15,31,41,16,18,35,18,22,22
gene-ACX60_RS05575,193,356,299,290,312,270,229,251,229
gene-ACX60_RS05580,28,26,48,16,32,24,30,38,30
gene-ACX60_RS05585,58,77,95,83,63,82,59,72,72
gene-ACX60_RS05590,35,22,40,28,38,30,38,29,24
gene-ACX60_RS05595,41,82,89,51,72,62,43,64,82
gene-ACX60_RS05600,72,62,82,64,58,60,74,66,90
gene-ACX60_RS20005,0,0,0,0,0,0,0,0,0
gene-ACX60_RS05605,17,12,20,8,10,13,30,8,21
gene-ACX60_RS05610,20,16,18,23,11,11,27,28,23
gene-ACX60_RS05615,21,29,43,38,26,33,43,66,32
gene-ACX60_RS05620,127,162,158,130,139,122,192,204,219
gene-ACX60_RS05625,284,412,523,343,294,312,406,435,609
gene-ACX60_RS05630,132,227,204,118,176,148,182,194,181
gene-ACX60_RS05635,119,173,182,166,153,174,209,162,171
gene-ACX60_RS05640,42,35,40,22,32,36,37,33,37
gene-ACX60_RS05645,10,27,42,23,26,34,20,28,39
gene-ACX60_RS05650,39,68,65,78,67,67,66,70,79
gene-ACX60_RS05660,125,178,161,145,193,197,234,225,262
gene-ACX60_RS05665,229,283,300,284,225,285,262,279,330
gene-ACX60_RS05670,24,22,55,30,24,44,42,30,31
gene-ACX60_RS05675,15,47,65,36,34,38,50,44,55
gene-ACX60_RS05680,23,33,47,11,25,22,50,42,33
gene-ACX60_RS05685,5559,8603,9660,8454,8498,9476,5979,6558,7051
gene-ACX60_RS05690,2018,3061,3304,2689,2563,3212,2193,2542,2965
gene-ACX60_RS05695,179,268,241,305,297,364,306,336,377
gene-ACX60_RS05700,1315,2372,2934,817,677,1036,691,699,1015
gene-ACX60_RS05705,103,183,177,124,109,133,127,117,156
gene-ACX60_RS05710,393,682,827,672,625,705,309,373,454
gene-ACX60_RS05715,2369,3020,3261,3306,2840,3730,3256,3150,3570
gene-ACX60_RS05720,219,256,302,335,312,290,240,250,317
gene-ACX60_RS05725,520,698,711,598,677,623,496,549,655
gene-ACX60_RS05730,217,292,208,255,206,226,184,219,257
gene-ACX60_RS05735,879,1411,1280,1125,1097,1203,1026,1123,1156
gene-ACX60_RS05740,1353,1977,2182,1848,1724,2030,1811,1969,2184
gene-ACX60_RS05745,2748,4019,4263,3774,3700,3696,3285,3622,4030
gene-ACX60_RS05750,166,238,247,121,201,178,157,176,213
gene-ACX60_RS05755,1322,2013,2166,1438,1490,1609,1266,1315,1487
gene-ACX60_RS05760,1658,2273,2532,2411,2018,2362,2130,2107,2476
gene-ACX60_RS05765,2158,3198,3277,2493,2760,2410,1921,2352,2659
gene-ACX60_RS05770,614,968,856,694,870,665,521,608,674
gene-ACX60_RS05775,23037,35321,33185,54423,54439,64077,49131,57013,59047
gene-ACX60_RS05780,343,423,475,361,309,456,452,429,564
gene-ACX60_RS05785,749,1041,972,943,780,830,778,943,1125
gene-ACX60_RS05790,394,585,574,229,200,292,194,216,264
gene-ACX60_RS05795,6,15,19,21,10,25,29,17,15
gene-ACX60_RS05800,159,208,199,163,154,238,192,171,192
gene-ACX60_RS05805,26,16,26,30,14,25,20,24,33
gene-ACX60_RS05810,101,97,107,128,100,116,111,119,165
gene-ACX60_RS05815,6,4,6,0,1,3,3,1,2
gene-ACX60_RS05820,8489,12733,15146,13877,11957,15968,11942,14688,13646
gene-ACX60_RS05825,410,552,725,446,442,596,445,471,574
gene-ACX60_RS05830,2141,3158,3372,2754,2760,2876,1993,2091,2607
gene-ACX60_RS05835,1759,2414,2554,1836,1774,1778,1591,1855,2011
gene-ACX60_RS05840,12574,18933,20785,19023,18135,21814,19222,22937,22039
gene-ACX60_RS05845,829,1150,1567,1181,894,1506,1466,1249,1548
gene-ACX60_RS05850,815,1196,1304,1114,980,1275,1235,1141,1211
gene-ACX60_RS05855,5320,7351,8971,8564,7034,10298,8784,9048,9224
gene-ACX60_RS05860,27196,38310,44696,46609,41640,50153,39706,44768,47932
gene-ACX60_RS05865,62,113,114,93,80,84,92,76,66
gene-ACX60_RS05870,143,189,167,158,104,186,109,101,115
gene-ACX60_RS05875,740,940,1081,985,1065,916,777,879,1119
